Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2018-01-02,1.2014,1.20811,1.20038,1.20575
2018-01-03,1.20576,1.20663,1.20017,1.20106
2018-01-04,1.20107,1.20888,1.20046,1.20719
2018-01-05,1.20721,1.20826,1.20208,1.2042
2018-01-08,1.20323,1.20521,1.19561,1.19684
2018-01-09,1.19684,1.19756,1.1916,1.19359
2018-01-10,1.1936,1.20179,1.19233,1.19496
2018-01-11,1.19495,1.20591,1.19299,1.20386
2018-01-12,1.20384,1.219,1.2031,1.219
2018-01-15,1.22046,1.22967,1.21878,1.22647
2018-01-16,1.22647,1.22834,1.21954,1.22561
2018-01-17,1.22563,1.23229,1.21654,1.21655
2018-01-18,1.21655,1.22649,1.21655,1.22409
2018-01-19,1.22409,1.22955,1.22185,1.22198
2018-01-22,1.22592,1.22671,1.22141,1.2261
2018-01-23,1.2261,1.23062,1.22233,1.22975
2018-01-24,1.22972,1.2415,1.22932,1.24046
2018-01-25,1.2403,1.25367,1.23641,1.23735
2018-01-26,1.23734,1.24935,1.23718,1.2419
2018-01-29,1.24199,1.24324,1.23372,1.23825
2018-01-30,1.23838,1.24539,1.23353,1.24053
2018-01-31,1.24053,1.2475,1.23871,1.24125
2018-02-01,1.24125,1.25223,1.23857,1.25049
2018-02-02,1.25075,1.25181,1.24098,1.24612
2018-02-05,1.24314,1.2475,1.23629,1.23758
2018-02-06,1.23755,1.24347,1.23144,1.23833
2018-02-07,1.23817,1.24056,1.22466,1.22538
2018-02-08,1.22543,1.22949,1.22124,1.22477
2018-02-09,1.22494,1.2287,1.22059,1.22351
2018-02-12,1.2251,1.22972,1.22353,1.22911
2018-02-13,1.22911,1.23712,1.22845,1.23498
2018-02-14,1.23503,1.2465,1.22761,1.2454
2018-02-15,1.24514,1.25102,1.24481,1.2501
2018-02-16,1.25001,1.25554,1.23938,1.24063
2018-02-19,1.24151,1.24349,1.23701,1.24064
2018-02-20,1.24069,1.24124,1.23201,1.23357
2018-02-21,1.23355,1.23599,1.22737,1.22756
2018-02-22,1.22758,1.23521,1.22599,1.23297
2018-02-23,1.23301,1.2337,1.228,1.22924
2018-02-26,1.22886,1.23546,1.22787,1.23133
2018-02-27,1.23131,1.23462,1.22219,1.22358
2018-02-28,1.22355,1.22402,1.21886,1.21935
2018-03-01,1.21932,1.22748,1.2155,1.22746
2018-03-02,1.2272,1.2336,1.22517,1.23293
2018-03-05,1.23525,1.23525,1.22695,1.23344
2018-03-06,1.23343,1.24229,1.23293,1.24214
2018-03-07,1.24212,1.2443,1.2385,1.24108
2018-03-08,1.24108,1.24459,1.22985,1.23134
2018-03-09,1.23127,1.23344,1.22741,1.23062
2018-03-12,1.23107,1.23455,1.22905,1.23337
2018-03-13,1.23339,1.24073,1.23147,1.23937
2018-03-14,1.23937,1.24127,1.23474,1.23683
2018-03-15,1.23683,1.23834,1.23005,1.23062
2018-03-16,1.23062,1.23362,1.2261,1.22889
2018-03-19,1.22855,1.23586,1.22581,1.23349
2018-03-20,1.23359,1.23545,1.22401,1.22456
2018-03-21,1.22455,1.23493,1.22438,1.23425
2018-03-22,1.23426,1.23878,1.22869,1.23204
2018-03-23,1.23204,1.23731,1.23164,1.23537
2018-03-26,1.23593,1.24616,1.2352,1.24478
2018-03-27,1.24478,1.24763,1.23729,1.24065
2018-03-28,1.24065,1.24216,1.23003,1.23103
2018-03-29,1.23104,1.23351,1.22843,1.23022
2018-03-30,1.23022,1.23308,1.22929,1.23191
2018-04-02,1.23205,1.23439,1.22824,1.2302
2018-04-03,1.23018,1.23348,1.22541,1.22701
2018-04-04,1.22706,1.23137,1.22573,1.22826
2018-04-05,1.22821,1.229,1.22185,1.22392
2018-04-06,1.22393,1.22905,1.22159,1.22853
2018-04-09,1.22779,1.23298,1.22611,1.23222
2018-04-10,1.23227,1.23775,1.23029,1.23536
2018-04-11,1.23537,1.23954,1.23477,1.23677
2018-04-12,1.23677,1.23797,1.22995,1.23266
2018-04-13,1.23258,1.23458,1.23073,1.23385
2018-04-16,1.2331,1.23938,1.2325,1.23806
2018-04-17,1.23808,1.24135,1.23365,1.2374
2018-04-18,1.23742,1.2397,1.23437,1.23782
2018-04-19,1.23783,1.24001,1.23291,1.23462
2018-04-20,1.23463,1.23528,1.225,1.22825
2018-04-23,1.2283,1.22895,1.2198,1.22087
2018-04-24,1.22085,1.22449,1.21819,1.22338
2018-04-25,1.22339,1.22389,1.21604,1.21627
2018-04-26,1.21622,1.22096,1.20964,1.21055
2018-04-27,1.2105,1.21328,1.20559,1.213
2018-04-30,1.21283,1.21388,1.20649,1.20791
2018-05-01,1.20792,1.20841,1.19818,1.19931
2018-05-02,1.1993,1.20318,1.19383,1.1956
2018-05-03,1.19553,1.20089,1.19479,1.19872
2018-05-04,1.19871,1.19957,1.19117,1.19575
2018-05-07,1.1958,1.1978,1.18981,1.19223
2018-05-08,1.19223,1.19387,1.18389,1.18627
2018-05-09,1.18624,1.18969,1.1823,1.18519
2018-05-10,1.1852,1.19454,1.18433,1.19165
2018-05-11,1.19165,1.19679,1.18915,1.19446
2018-05-14,1.19468,1.19959,1.19235,1.19269
2018-05-15,1.19268,1.19383,1.18212,1.18381
2018-05-16,1.18381,1.18541,1.17639,1.18118
2018-05-17,1.18118,1.18376,1.17773,1.1795
2018-05-18,1.17949,1.1822,1.17501,1.17678
2018-05-21,1.17685,1.17954,1.17167,1.17945
2018-05-22,1.17944,1.18296,1.17572,1.17784
2018-05-23,1.17781,1.17897,1.16769,1.17041
2018-05-24,1.17033,1.17499,1.16909,1.17225
2018-05-25,1.17215,1.17335,1.16467,1.16606
2018-05-28,1.16877,1.17283,1.16077,1.16245
2018-05-29,1.16245,1.16395,1.15106,1.15452
2018-05-30,1.15421,1.16754,1.15188,1.16675
2018-05-31,1.16674,1.17242,1.16414,1.16929
2018-06-01,1.16928,1.17177,1.16187,1.16575
2018-06-04,1.16631,1.17445,1.16615,1.16971
2018-06-05,1.16969,1.17319,1.16529,1.17175
2018-06-06,1.17172,1.17955,1.17141,1.1777
2018-06-07,1.17769,1.18398,1.17749,1.17982
2018-06-08,1.1798,1.18104,1.17277,1.17668
2018-06-11,1.17745,1.18202,1.17714,1.17826
2018-06-12,1.17825,1.18086,1.17339,1.17456
2018-06-13,1.17451,1.17998,1.17262,1.17941
2018-06-14,1.17941,1.18505,1.15641,1.15733
2018-06-15,1.15736,1.16267,1.15434,1.16092
2018-06-18,1.15953,1.16244,1.15658,1.16216
2018-06-19,1.16215,1.16446,1.15312,1.15848
2018-06-20,1.15861,1.16001,1.1538,1.1574
2018-06-21,1.15735,1.16329,1.1509,1.16083
2018-06-22,1.16078,1.16748,1.16012,1.16589
2018-06-25,1.16658,1.17131,1.16287,1.1701
2018-06-26,1.17011,1.17202,1.16354,1.1647
2018-06-27,1.1647,1.16719,1.15409,1.15589
2018-06-28,1.15588,1.15984,1.15275,1.1563
2018-06-29,1.15615,1.16822,1.15584,1.16769
2018-07-02,1.1668,1.16826,1.15917,1.16353
2018-07-03,1.16353,1.16727,1.16207,1.16586
2018-07-04,1.16588,1.16818,1.1631,1.1656
2018-07-05,1.16561,1.172,1.16501,1.169
2018-07-06,1.16898,1.17664,1.16806,1.17464
2018-07-09,1.17483,1.17906,1.17328,1.17484
2018-07-10,1.17483,1.17625,1.16913,1.17394
2018-07-11,1.17397,1.17548,1.16656,1.1674
2018-07-12,1.16739,1.16957,1.16501,1.16689
2018-07-13,1.16692,1.1684,1.16134,1.16827
2018-07-16,1.16864,1.17253,1.16759,1.17105
2018-07-17,1.17103,1.17445,1.16505,1.16588
2018-07-18,1.16587,1.16649,1.16023,1.16441
2018-07-19,1.16441,1.16785,1.15751,1.16453
